Time (ns),SinglePE,DoublePE,MultiPE,Ringing
0,0.1342773438,-0.2197265625,0.3662109375,-0.1586914062
2,0.6225585938,0.146484375,0.6103515625,-0.2807617187
4,-0.1098632812,-0.09765625,-0.48828125,-0.03662109375
6,0.01220703125,-0.2197265625,-0.6103515625,-0.2807617187
8,-0.1098632812,0.0244140625,-0.48828125,0.2075195313
10,-0.1098632812,0.2685546875,0.3662109375,0.3295898438
12,-0.4760742187,-0.09765625,-0.48828125,0.4516601563
14,-0.2319335937,0.146484375,0.244140625,0.2075195313
16,-0.1098632812,-0.5859375,0.3662109375,-0.03662109375
18,0.3784179688,0.634765625,0.1220703125,-0.4028320312
20,-0.1098632812,0.2685546875,0.244140625,0.08544921875
22,-0.1098632812,-0.341796875,0.244140625,-0.2807617187
24,-0.1098632812,-0.341796875,-0.1220703125,-0.1586914062
26,0.5004882813,-0.341796875,0.1220703125,0.9399414063
28,0.1342773438,0.0244140625,0.3662109375,-0.1586914062
30,0.2563476563,-0.09765625,-0.1220703125,0.3295898438
32,-0.5981445312,0.2685546875,-0.3662109375,-0.03662109375
34,0.2563476563,-0.341796875,-0.1220703125,0.08544921875
36,0.1342773438,0.0244140625,0.1220703125,-0.2807617187
38,0.01220703125,-0.4638671875,0.244140625,-0.5249023437
40,0.01220703125,-0.4638671875,0.1220703125,-0.03662109375
42,0.01220703125,-0.2197265625,0.3662109375,0.08544921875
44,0.3784179688,-0.2197265625,-0.244140625,0.4516601563
46,-0.2319335937,-0.2197265625,0,-0.03662109375
48,0.01220703125,-0.7080078125,0,0.4516601563
50,0.8666992188,0.390625,0.3662109375,-0.5249023437
52,0.1342773438,-0.5859375,0,0.08544921875
54,0.6225585938,-0.09765625,0.6103515625,-0.2807617187
56,-0.1098632812,-0.341796875,0.3662109375,0.2075195313
58,-0.3540039062,-0.7080078125,0,-0.03662109375
60,-0.4760742187,-0.4638671875,0,-0.03662109375
62,0.2563476563,-0.2197265625,-0.48828125,-0.1586914062
64,-0.2319335937,-0.5859375,0.1220703125,0.2075195313
66,0.1342773438,-0.5859375,-0.244140625,0.3295898438
68,-0.1098632812,0.2685546875,0,0.3295898438
70,-0.5981445312,-0.09765625,0.244140625,0.2075195313
72,0.1342773438,-0.2197265625,-0.1220703125,-0.4028320312
74,0.3784179688,-0.09765625,-0.48828125,0.08544921875
76,0.5004882813,0.146484375,0.48828125,0.2075195313
78,0.1342773438,-0.2197265625,0.244140625,0.3295898438
80,0.01220703125,0.146484375,0,-0.03662109375
82,0.01220703125,-0.09765625,-0.1220703125,-0.03662109375
84,0.6225585938,0.0244140625,0.48828125,-0.1586914062
86,0.3784179688,0.146484375,-0.48828125,-0.6469726562
88,-0.3540039062,-0.2197265625,0,-0.4028320312
90,0.01220703125,-0.341796875,0.244140625,-0.4028320312
92,-0.3540039062,-0.341796875,0.1220703125,-0.7690429687
94,-0.8422851562,0.0244140625,0.244140625,-7.727050781
96,-0.1098632812,-0.4638671875,-0.3662109375,-24.57275391
98,0.1342773438,-0.5859375,0,-37.39013672
100,-0.3540039062,-0.4638671875,0.1220703125,-34.09423828
102,-2.307128906,-0.5859375,0.1220703125,-21.39892578
104,-14.75830078,0.5126953125,-0.244140625,-6.506347656
106,-17.93212891,-0.09765625,-0.1220703125,2.282714844
108,-7.922363281,0.0244140625,-2.319335938,5.334472656
110,-0.9643554687,-0.7080078125,-19.77539063,3.991699219
112,-0.2319335937,-0.341796875,-30.63964844,-2.966308594
114,-0.2319335937,-0.341796875,-17.82226563,-10.04638672
116,-0.1098632812,-0.5859375,-11.47460938,-11.87744141
118,-1.086425781,-0.5859375,-16.47949219,-8.703613281
120,-1.696777344,-2.905273437,-10.86425781,-3.942871094
122,-0.7202148437,-13.15917969,-4.150390625,0.08544921875
124,-0.3540039062,-27.68554687,-4.150390625,4.235839844
126,0.1342773438,-22.68066406,-1.586914063,5.822753906
128,-0.3540039062,-25,-0.732421875,4.846191406
130,-0.3540039062,-18.65234375,-0.48828125,0.08544921875
132,-0.1098632812,-6.079101562,-1.46484375,-4.309082031
134,-0.8422851562,-1.318359375,-0.732421875,-5.529785156
136,0.2563476563,-2.294921875,-0.732421875,-4.187011719
138,0.2563476563,-2.5390625,-1.831054688,-0.5249023437
140,-0.3540039062,-2.5390625,0.9765625,2.893066406
142,-0.8422851562,-2.905273437,2.807617188,5.334472656
144,-0.3540039062,-1.07421875,-1.46484375,3.503417969
146,0.8666992188,0.0244140625,-3.662109375,1.062011719
148,-0.2319335937,-0.7080078125,-5.615234375,-2.600097656
150,-0.1098632812,-1.196289062,-19.04296875,-3.454589844
152,-0.7202148437,-0.4638671875,-17.578125,-3.210449219
154,0.2563476563,-0.4638671875,-4.8828125,-0.4028320312
156,0.1342773438,-0.830078125,0.9765625,2.648925781
158,0.2563476563,-0.09765625,-0.1220703125,4.113769531
160,-0.5981445312,-0.341796875,-0.9765625,2.770996094
162,-0.9643554687,-0.7080078125,-0.244140625,0.2075195313
164,-0.7202148437,-0.830078125,-0.6103515625,-2.111816406
166,0.2563476563,-0.09765625,-2.563476563,-2.844238281
168,0.1342773438,-0.7080078125,-1.831054688,-1.379394531
170,0.01220703125,-0.2197265625,0.3662109375,0.3295898438
172,-0.4760742187,-0.7080078125,1.46484375,1.428222656
174,0.2563476563,-0.2197265625,0.732421875,2.526855469
176,0.2563476563,-0.341796875,-1.586914063,1.794433594
178,0.6225585938,-0.09765625,-1.220703125,0.3295898438
180,0.5004882813,-0.341796875,1.098632813,-1.379394531
182,0.1342773438,-0.09765625,0.3662109375,-1.745605469
184,0.1342773438,-0.09765625,-0.1220703125,-1.013183594
186,0.7446289063,-0.09765625,1.220703125,0.3295898438
188,0.1342773438,-0.09765625,0.1220703125,2.160644531
190,0.5004882813,-0.7080078125,-0.8544921875,1.062011719
192,0.01220703125,0.0244140625,0.244140625,-0.5249023437
194,0.01220703125,-0.09765625,1.220703125,-0.1586914062
196,-0.5981445312,-0.09765625,0.6103515625,0.08544921875
198,0.8666992188,-0.2197265625,0.6103515625,0.3295898438
200,0.8666992188,0.390625,0.1220703125,0.9399414063
202,0.01220703125,0.146484375,0.732421875,0.6958007813
204,-0.1098632812,0.2685546875,0.8544921875,0.8178710938
206,0.2563476563,-0.09765625,0.8544921875,0.3295898438
208,0.3784179688,0.390625,1.342773438,0.9399414063
210,0.2563476563,-0.09765625,0.8544921875,0.08544921875
212,-0.3540039062,-0.09765625,-0.244140625,-0.2807617187
214,0.5004882813,0.390625,0.1220703125,-0.2807617187
216,0.01220703125,-0.341796875,1.953125,0.6958007813
218,-0.1098632812,0.0244140625,1.220703125,1.184082031
